CODIGO_CVM;DENOMINACAO_SOCIAL;DENOMINACAO_COMERCIAL;SETOR_ATIVIDADE;CNPJ;DATA_REGISTRO;DATA_CONSTITUICAO;DATA_CANCELAMENTO;MOTIVO_CANCELAMENTO;SITUACAO_REGISTRO
86;ACOS DO BRASIL SA IND E COM;ACOS DO BRASIL;METALURGIA E SIDERURGIA;60890688000154;1972-08-16;;1989-12-14;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
14508;AÇOS FINOS PIRATINI S/A;PIRATINI;METALURGIA E SIDERURGIA;92767409000156;1994-07-21;;1995-09-05;ELISÃO POR INCORPORAÇÃO;CANCELADA
10715;ACOS IPANEMA (VILLARES) SA;ACOS IPANEMA;METALURGIA E SIDERURGIA;60852316000133;1977-10-20;;1993-01-11;ELISÃO POR INCORPORAÇÃO;CANCELADA
108;AÇOS VILLARES SA;ACOS VILLARES;METALURGIA E SIDERURGIA;60664810000174;1969-05-16;1944-08-18;2010-12-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
116;ACRINOR ACRILONITRILA DO NE SA;ACRINOR;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;13546353000133;1981-12-23;;2000-02-21;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
20230;ACRUX SECURITIZADORA S/A;ACRUX SECURITIZADORA S/A;SECURITIZAÇÃO DE RECEBÍVEIS;7825881000129;2006-08-09;2006-01-02;2016-02-04;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
18040;ACTORI PARTICIPAÇÕES SA;ACTORI PARTICIPAÇÕES S.A.;EMP. ADM. PARTICIPAÇÕES;2808627000107;1998-12-09;1998-09-14;2002-04-24;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
20940;AÇUCAR GUARANI S/A;AÇUCAR GUARANI S/A;AGRICULTURA (AÇUCAR, ALCOOL E CANA);47080619000117;2007-07-20;1976-01-01;2010-08-13;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
7625;ADEPAR ASSESSORIA ADM SERV SA;IOCHPE ARREND MERC;EMP. ADM. PARTICIPAÇÕES;43631183000156;1981-04-14;;1989-08-02;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
132;ADESENE ADESIVOS NO NORDESTE SA;ADESENE;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;11029808000118;1974-12-10;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
159;ADUBOS VIANNA SA INDUSTRIA E COMERCIO;ADUBOS VIANNA;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;17157215000113;1969-09-22;;2005-12-20;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
23396;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;8827501000158;2014-05-21;2007-03-26;;;ATIVO
167;AEROFOTO CRUZEIRO SA;AEROFOTO CRUZEIRO;SERVICOS DIVERSOS;33037169000175;1977-07-20;;1992-12-01;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
19313;AES ELPA SA;AES ELPA;EMP. ADM. PARTICIPAÇÕES - ENERGIA ELÉTRICA;1917705000130;2002-10-14;1997-06-01;;;ATIVO
16527;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;ENERGIA ELÉTRICA;2016440000162;1997-10-13;1997-08-11;;;ATIVO
18970;AES TIETÊ ENERGIA S.A;CIA BRASILIANA DE ENERGIA;EMP. ADM. PARTICIPAÇÕES - ENERGIA ELÉTRICA;4128563000110;2001-06-29;2000-11-06;;;ATIVO
18350;AES TIETE SA;AES TIETE SA;ENERGIA ELÉTRICA;2998609000127;1999-07-14;1999-02-04;2015-12-31;ELISÃO POR INCORPORAÇÃO;CANCELADA
18104;AETATIS SECURITIZADORA S.A.;AETATIS SECURITIZADORA;SECURITIZAÇÃO DE RECEBÍVEIS;2808481000191;1998-12-17;1998-09-14;2016-06-24;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
20150;AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.;AFLUENTE G;ENERGIA ELÉTRICA;7620094000140;2006-07-12;2005-08-31;;;ATIVO
22179;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;ENERGIA ELÉTRICA;10338320000100;2010-09-24;2008-08-18;;;ATIVO
12343;AGF BRASIL SEGUROS SA;AGF BRASIL SEGUROS;SEGURADORAS E CORRETORAS;61573796000166;1985-04-09;1904-11-01;2005-05-30;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
175;AGGS INDS GRAFICAS SA;AGGS INDS GRAFICAS;GRÁFICAS E EDITORAS;33058793000159;1971-05-14;;1987-05-04;ELISÃO POR INCORPORAÇÃO;CANCELADA
3921;AGIP DISTRIBUIDORA SA;CIA PETR SAO PAULO;PETRÓLEO E GÁS;61442752000105;1975-10-10;;2000-01-14;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
20664;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;7698047000110;2007-04-19;2005-08-05;2010-05-28;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
183;AGRALE SA;AGRALE;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;88610324000192;1977-07-20;;2000-06-26;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
21911;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;11040082000114;2009-12-22;2009-07-16;2010-07-19;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
191;AGRILEASING SA ARREND MERC;AGRILEASING;ARRENDAMENTO MERCANTIL;88070990000185;1983-01-24;;1985-09-30;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
205;AGRO PASTORIL CARIRI SA CARIRISA;CARIRISA;AGRICULTURA (AÇUCAR, ALCOOL E CANA);9378563000192;1977-07-20;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
221;AGRONORTE SA;AGRONORTE;AGRICULTURA (AÇUCAR, ALCOOL E CANA);21444765000190;1977-07-20;;2005-12-20;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
213;AGROPECUARIA TAMAKAVY SA;TAMAKAVY;AGRICULTURA (AÇUCAR, ALCOOL E CANA);3143716000136;1983-09-16;;1988-02-25;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
23442;AGUAS GUARIROBA S.A.;AGUAS GUARIROBA S.A;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;4089570000150;2014-08-06;2000-09-29;;;ATIVO
21806;AGV HOLDING S/A;AGV HOLDING S/A;EMP. ADM. PARTICIPAÇÕES - SERVIÇOS TRANSPORTE E LOGÍSTICA;9594796000122;2009-11-05;1998-10-23;2014-03-10;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
9288;AIR LIQUIDE;OXIGENIO DO BRASIL;OUTRAS ATIVIDADES INDUSTRIAIS;60830296000108;1970-09-17;;1998-11-19;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
18074;ALBAE PARTICIPACOES SA;ALBAE PARTICIPACÕES S.A.;EMP. ADM. PARTICIPAÇÕES;2783422000106;1998-12-10;1998-09-14;2002-05-15;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
13242;ALBATROZ SA;ALBATROZ SA;EMP. ADM. PARTICIPAÇÕES;57912396000160;1987-11-05;;1990-12-27;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
15067;ALCALIS RIO GRANDE DO NORTE SA;ALCALIS;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;8240673000120;1995-07-28;1974-10-30;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
256;ALCAN ALUMINIO DO BRASIL SA;ALCAN;METALURGIA E SIDERURGIA;60561800000103;1983-11-11;;1987-07-28;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
17957;AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA;AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;56994791000177;1998-11-27;1997-01-06;2007-11-13;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
264;ALCOA ALUMINIO SA;ALCOA ALUMINIO;METALURGIA E SIDERURGIA;23637697000101;1981-10-20;;1993-10-19;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
16705;ALEF SA;ALEF S/A;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;2217319000107;1997-12-08;1997-10-06;;;ATIVO
9954;ALFA HOLDINGS SA;ALFA HOLDINGS;EMP. ADM. PARTICIPAÇÕES - INTERMEDIAÇÃO FINANCEIRA;17167396000169;1977-07-20;1969-08-11;;;ATIVO
272;ALFA NORDESTE SA INDUSTRIA DO VESTUARIO;ALFRED NORDESTE;TEXTIL E VESTUÁRIO;15167984000177;1980-11-17;;2007-11-13;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
280;ALFRED SA COMERCIO DO VESTUARIO;LOJAS ALFRED;TEXTIL E VESTUÁRIO;92689173000187;1982-01-22;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
21032;ALGAR TELECOM S/A;CTBC TELECOM;TELECOMUNICAÇÕES;71208516000174;2007-07-27;2004-01-01;;;ATIVO
21300;ALIANSCE SHOPPING CENTERS S/A;ALIANSCE;EMP. ADM. PARTICIPAÇÕES - CONSTRUÇÃO CIVIL, MAT. CONSTR. E DECORAÇÃO;6082980000103;2008-01-18;2004-01-01;;;ATIVO
18260;ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA;ALIMENTA PARTICIPAÇÕES E SERVIÇOS S.A.;EMP. ADM. PARTICIPAÇÕES;2997713000105;1999-05-26;1999-01-29;2003-11-10;ELISÃO POR LIQUIDAÇÃO;CANCELADA
14079;ALIPAR ALIMENTOS E PARTS SA;ALIPAR;EMP. ADM. PARTICIPAÇÕES;33826637000190;1992-12-28;;1995-09-27;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
18082;ALIUM PARTICIPAÇÕES SA;ALIUM PARTICIPACOES;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;2783425000140;1998-12-10;1998-09-14;2011-08-31;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
15300;ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A.;ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A.;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;24962466000136;1995-12-27;1988-09-22;;;ATIVO
17850;ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A.;ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A.;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;39115514000128;1998-10-20;1990-08-28;;;ATIVO
17930;ALL - AMÉRICA LATINA LOGÍSTICA MALHA PAULISTA S.A.;ALL - AMÉRICA LATINA LOGÍSTICA MALHA PAULISTA S.A.;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;2502844000166;1998-11-12;1998-04-01;;;ATIVO
15709;ALL - AMÉRICA LATINA LOGÍSTICA MALHA SUL S.A.;ALL - AMÉRICA LATINA LOGÍSTICA MALHA SUL S.A.;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;1258944000126;1996-08-29;1996-04-30;;;ATIVO
17450;ALL - AMÉRICA LATINA LOGISTICA S.A.;ALL - AMÉRICA LATINA LOGÍSTICA S.A.;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;2387241000160;1998-07-02;1997-09-30;;;ATIVO
20850;ALLIS PARTICIPAÇÕES S.A.;ALLIS S.A.;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;8648295000119;2007-07-02;2006-12-11;2015-08-26;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
302;ALMEC INDUSTRIAS MECANICA SA;ALMEC;METALURGIA E SIDERURGIA;18012393000119;1975-01-03;;2005-03-22;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
10456;ALPARGATAS SA;ALPARGATAS;TEXTIL E VESTUÁRIO;61079117000105;1977-07-20;1907-04-03;;;ATIVO
310;ALPART ALPA PARTICIPACOES SA;ALPART;EMP. ADM. PARTICIPAÇÕES;47848684000140;1982-09-03;;1989-10-19;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
329;ALPINA BRASIL SA MAQ IMP AGRIC;ALPINA DO BRASIL;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;87819926000191;1976-08-20;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
337;ALPLAN SA IND COM CH MAD AGLOM;ALPLAN;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;49705528000155;1982-12-02;;1989-08-02;ELISÃO POR INCORPORAÇÃO;CANCELADA
17310;ALTA - AMER.LAT.TELEC.AVANÇADAS S/A;ALTA-TELECOM;TELECOMUNICAÇÕES;2282923000109;1998-05-11;1998-05-11;2003-12-29;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
18066;ALTERE SECURITIZADORA S.A.;ALTERE SECURITIZADORA S/A;SECURITIZAÇÃO DE RECEBÍVEIS;2783423000150;1998-12-10;1998-09-14;;;ATIVO
23183;ALTUS SISTEMA DE AUTOMAÇÃO S.A.;ALTUS SISTEMA DE AUTOMAÇÃO S.A.;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;92859974000143;2013-07-02;1989-06-06;;;ATIVO
345;ALUMINIO EXTRUSAO LAMINACAO;ASA ALUMINIO;EMP. ADM. PARTICIPAÇÕES;10886893000178;1979-12-12;;1997-01-30;ELISÃO POR LIQUIDAÇÃO;CANCELADA
21490;ALUPAR INVESTIMENTO S/A;ALUPAR INVESTIMENTO S/A;EMP. ADM. PARTICIPAÇÕES - ENERGIA ELÉTRICA;8364948000138;2008-06-18;2006-09-27;;;ATIVO
353;ALUSUD ALUMINIO DO SUL SA;ALUSUD;METALURGIA E SIDERURGIA;82998600000155;1975-12-17;;1987-05-15;ELISÃO POR INCORPORAÇÃO;CANCELADA
1147;ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;BEC;BANCOS;7196934000190;1977-07-20;1964-06-23;2006-05-31;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
361;AMADEO ROSSI SA MET MUNICOES;AMADEO ROSSI SA METALÚRGICA E MUNIÇÕES;METALURGIA E SIDERURGIA;96735105000168;1971-12-08;;2002-09-18;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
16918;AMARANTE PARTICIPACOES SA;AMARANTE PARTICIPACO;EMP. ADM. PARTICIPAÇÕES;2036227000112;1998-02-26;1997-07-04;2000-06-20;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
370;AMAZONAS PRODS P CALCADOS SA;AMAZONAS CALCADOS;TEXTIL E VESTUÁRIO;47959697000196;1983-02-28;;1988-06-15;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
17280;AMAZONIA CELULAR S/A;AMAZÔNIA CELULAR;TELECOMUNICAÇÕES;2340278000133;1998-05-06;1998-01-05;2009-03-09;ELISÃO POR INCORPORAÇÃO;CANCELADA
23264;AMBEV S.A.;AMBEV S.A;BEBIDAS E FUMO;7526557000100;2013-10-30;2005-07-08;;;ATIVO
12750;AMELCO SA IND ELETRONICA;AMELCO;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;57009078000194;1986-05-23;;2003-07-21;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
388;AMERICA DO SUL LEAS SA ARR MER;AMER DO SUL LEASING;ARRENDAMENTO MERCANTIL;44081677000177;1982-09-28;1974-10-24;2000-03-02;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
15679;AMERICAS EMPRS ARTISTICOS SA;ROCK IN RIO CAFÉ LTDA;HOSPEDAGEM E TURISMO;1223522000115;1996-08-19;1996-05-15;2008-03-18;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
16195;AMERICEL SA;AMERICEL;TELECOMUNICAÇÕES;1685903000116;1997-03-26;1997-02-18;2012-09-04;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
21172;AMIL PARTICIPAÇÕES S/A;AMIL PARTICIPAÇÕES S/A;SERVIÇOS MÉDICOS;36461242000120;2007-10-24;1978-01-01;2013-05-09;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
3050;AMPLA ENERGIA E SERVIÇOS S.A.;AMPLA;ENERGIA ELÉTRICA;33050071000158;1969-08-15;1909-06-01;;;ATIVO
20214;AMPLA INVESTIMENTOS E SERVIÇOS S/A;AMPLA INVESTIMENTOS E SERVIÇOS S/A;EMP. ADM. PARTICIPAÇÕES - ENERGIA ELÉTRICA;7809905000156;2006-07-27;2005-12-29;2012-05-23;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
19259;ANCAR EMPREENDIMENTOS COMERCIAIS S/A;ANCAR EMPREENDIMENTOS COMERCIAIS S/A;EMP. ADM. PARTICIPAÇÕES - COMÉRCIO (ATACADO E VAREJO);40430571000180;2002-02-26;1992-04-02;2006-12-18;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
15326;ANCAR SHOPPING SA;ANCAR;EMP. ADM. PARTICIPAÇÕES;979769000101;1996-01-11;1995-12-01;2001-11-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
396;ANCORA COMERCIAL SA;ANCORA COMERCIAL;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;76491661000129;1977-07-20;;1989-05-26;ELISÃO POR INCORPORAÇÃO;CANCELADA
400;ANDERSON CLAYTON SA IND E COM;ANDERSON CLAYTON;ALIMENTOS;60503232000194;1977-07-20;;1987-12-23;ELISÃO POR INCORPORAÇÃO;CANCELADA
19437;ANDRADE GUTIERREZ CONCESSOES SA;AGCONCESSOES;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;3601314000138;2003-09-01;1999-12-13;;;ATIVO
19062;ANDRADE GUTIERREZ PARTICIPAÇÕES SA;CANTAROS PARTICIPAÇÕES S.A.;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;4031960000170;2001-10-29;2000-07-31;;;ATIVO
18961;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;EMP. ADM. PARTICIPAÇÕES - EDUCAÇÃO;4310392000146;2001-06-08;2001-02-19;2014-10-08;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
12416;ANSON SA ENG FUND RECUPERACOES;ANSON;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;60661451000100;1985-07-15;;1986-04-02;CANCELAMENTO OFICIO COM BASE INSTR. CVM 29/84;CANCELADA
22276;APICE SECURITIZADORA IMOBILIARIA S.A.;APICE SECURITIZADORA IMOBILIARIA S.A.;SECURITIZAÇÃO DE RECEBÍVEIS;12130744000100;2010-11-25;2010-05-28;;;ATIVO
426;APOLO PRODUTOS DE ACO SA;APOLO;METALURGIA E SIDERURGIA;33017088000103;1971-07-09;;1990-10-30;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
22101;AQUA-RIO S/A;AQUA-RIO S/A;BRINQUEDOS E LAZER;11197023000154;2010-07-26;2009-07-08;2012-06-26;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
12564;AQUATEC QUIMICA SA;AQUATEC;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;45169000000158;1985-12-17;;2007-01-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
21512;ÁQUILLA SECURITIZADORA SA;ÁQUILLA SECURITIZADORA SA;SECURITIZAÇÃO DE RECEBÍVEIS;9439783000189;2008-06-24;2008-01-14;;;ATIVO
22950;AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.;AUREA SECURITIES COMPANHIA SECURITIZADORA S.A.;SECURITIZAÇÃO DE RECEBÍVEIS;15914972000169;2012-09-05;2012-05-23;;;SUSPENSO(A) - DECISÃO ADM
434;ARACRUZ CELULOSE S/A;ARACRUZ CELULOSE SA;PAPEL E CELULOSE;42157511000161;1980-02-05;1972-04-24;2009-12-31;ELISÃO POR INCORPORAÇÃO;CANCELADA
485;ARAFERTIL SA;ARAFERTIL;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;17805110000123;1982-08-26;;1989-01-13;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
442;ARAGUAIA CIA INDL DE PROD ALIM;ARAGUAIA;ALIMENTOS;2517787000199;1973-11-29;;1987-06-05;CANCELAMENTO OFICIO COM BASE INSTR. CVM 29/84;CANCELADA
13161;ARAGUAIA SA MIN RACOES FERTIL;ARAGUAIA;EXTRAÇÃO MINERAL;1543362000191;1987-04-29;;1988-07-05;ENQUADRAMENTO HIPÓTESE ESTAB P/ COML EM 29/10/79;CANCELADA
9806;ARAPUA IMPORTACAO COMERCIO SA;PROSDOCIMO;COMÉRCIO (ATACADO E VAREJO);76516921000173;1977-07-20;;1996-10-10;ELISÃO POR INCORPORAÇÃO;CANCELADA
18651;ARAUCÁRIA PARTICIPAÇÕES SA;ARAUCÁRIA PARTICIPAÇÕES SA;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;3616277000131;2000-04-18;1999-11-22;2014-11-14;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
14788;ARBRA SA;ARBRA SA;EMP. ADM. PARTICIPAÇÕES;237000000100;1995-02-20;;2003-01-16;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
3964;ARCELOR BRASIL S.A.;ARCELOR BRASIL;METALURGIA E SIDERURGIA;24315012000173;1969-12-19;1921-12-11;2007-06-15;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
2658;ARCELORMITTAL INOX BRASIL S.A.;ARCELORMITTAL INOX BRASIL S.A.;METALURGIA E SIDERURGIA;33390170000189;1971-12-22;1944-10-31;2008-04-24;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
507;ARCON SA IND ELETROMETALURGICA;ARCON METALURGICA;METALURGIA E SIDERURGIA;92660158000106;1968-08-05;;1987-12-03;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
16926;ARDOSIA PARTICIPACOES SA;ARDOSIA PARTICIPACOE;EMP. ADM. PARTICIPAÇÕES;2036233000170;1998-02-26;1997-07-04;2000-11-24;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
